n_high,high_fraction,n_edges,components,significant_components,largest_component_size,largest_component_share,isolated_share,endpoint_distance,path_length,path_hops,connected_region_supported,replicate,threshold,radius,rsm_r2
3012,0.1506,25581,226,24,109,0.03618857901726428,0.008632138114209827,0.09253349244730358,0.14045440270608237,6,False,0,0.8,0.04,0.8105898913292042
3012,0.1506,28357,167,29,209,0.0693891102257636,0.00597609561752988,0.19685489251478222,0.2705600501836449,7,False,0,0.8,0.06,0.8105898913292042
3012,0.1506,31220,115,26,241,0.0800132802124834,0.0033200531208499337,0.19685489251478222,0.2450171736735179,5,False,0,0.8,0.08,0.8105898913292042
3012,0.1506,33803,62,25,434,0.14409030544488713,0.00099601593625498,0.3667825270436168,0.5582425058040335,9,False,0,0.8,0.1,0.8105898913292042
2077,0.10385,15818,195,28,52,0.025036109773712085,0.012518054886856042,0.03184089444682522,0.03575098351443495,2,False,0,0.85,0.04,0.8105898913292042
2077,0.10385,17866,146,32,160,0.07703418391911411,0.008666345690900338,0.1947937488007979,0.24210176082437262,6,False,0,0.85,0.06,0.8105898913292042
2077,0.10385,20524,100,29,225,0.10832932113625421,0.004814636494944632,0.20720108623235148,0.3832301383939103,6,False,0,0.85,0.08,0.8105898913292042
2077,0.10385,22463,60,30,325,0.15647568608570053,0.002888781896966779,0.2657639107371046,0.47259058999212333,7,False,0,0.85,0.1,0.8105898913292042
1317,0.06585,8726,148,33,49,0.03720577069096431,0.017463933181473046,0.04035130367287217,0.0415243418637166,2,False,0,0.9,0.04,0.8105898913292042
1317,0.06585,10224,116,28,101,0.07668944570994685,0.01366742596810934,0.19011251438480092,0.28107483223717583,7,False,0,0.9,0.06,0.8105898913292042
1317,0.06585,12035,83,24,153,0.11617312072892938,0.009870918754745633,0.20594703036139625,0.37804915180886445,6,False,0,0.9,0.08,0.8105898913292042
1317,0.06585,13677,53,23,190,0.1442672741078208,0.005315110098709187,0.3105396081103255,0.42510113537549354,7,False,0,0.9,0.1,0.8105898913292042
667,0.03335,3852,96,32,33,0.049475262368815595,0.025487256371814093,0.03745105655229791,0.0380848742906067,2,False,0,0.95,0.04,0.8105898913292042
